 ,1980,1981,1982,1983,1984,,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
New Zealand,76643.0,80715.0,82666.0,84764.0,95754.0,,95793.0,102684.0,105598.0,114195.0,120821.0,111504.0,128078.0,146215.0,162932.0,169421.0,163923.0,162350.0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,256608.3,260846.7,270074.2,271450.7,268645.7,267796.2,..,..,..,..
Norway,78401.0,79117.0,82511.0,88510.0,91330.0,,94089.0,94658.0,104246.0,106904.0,114855.0,129343.0,142521.0,154180.0,166499.0,176722.0,172967.0,180383.0,185320.0,183026.0,187482.0,190943.0,190054.0,197064.0,212395.0,213845.0,213940.0,214711.0,215237.0,212672.0,219282.0,224706.0,229743.0,238224.0,255416.0,264207.0,268231.0,277449.0,284042.0,288739.0,..,..,..,..
OECD members,26217356.1,27143424.5,27955115.6,28606437.8,29255931.8,,29595464.9,30013700.3,30634668.3,31476593.0,32380860.9,33649555.2,34739579.6,36291198.4,36366740.0,39711863.8,40489900.0,39256175.2,40104759.8,41716518.4,43191960.8,43510937.7,44916676.5,48318976.6,50166295.4,51261000.5,52107246.9,53440628.6,54213320.8,55121446.9,56883944.0,59626325.3,61336111.3,62241639.3,61976546.8,62487318.7,62943389.1,64229307.4,64734243.5,65194720.7,64105698.7,..,..,..
Poland,609997.0,589134.0,544895.0,495902.0,475816.0,,456661.0,454190.0,450205.0,458585.0,493552.0,505727.0,544893.0,549308.0,627308.0,747159.0,876057.0,1021351.0,1182360.0,1191099.0,1399090.0,1579571.0,1774985.0,1906268.0,1983360.0,2044298.0,2118081.0,2145687.0,2146926.0,2165980.0,2149998.0,2148676.0,2080334.0,2007212.0,1902718.0,1762666.0,1665305.0,1600208.0,1550203.0,1492899.0,..,..,..,..
Portugal,91373.0,92152.0,94958.0,99165.0,101308.0,,112851.0,103585.0,129277.0,..,..,156701.0,185762.0,190856.0,247523.0,276534.0,300573.0,319525.0,..,351784.0,356790.0,373745.0,387703.0,396601.0,400831.0,395063.0,380937.0,367312.0,366729.0,376917.0,373002.0,383627.0,396268.0,390273.0,371000.0,362200.0,337507.0,343117.0,346963.0,356390.0,..,..,..,..
Slovak Republic,..,..,..,..,..,,..,..,..,..,..,..,..,..,66002.0,72726.0,82223.0,91553.0,101764.0,112837.0,122886.0,135914.0,143909.0,152182.0,158089.0,164667.0,181419.0,197943.0,217952.0,229477.0,234997.0,234526.0,226305.0,221227.0,209543.0,197854.0,184390.0,167280.0,156048.0,144447.0,..,..,..,..
Slovenia,..,27707.0,26207.0,26197.0,27403.0,,27691.0,29601.0,30985.0,30981.0,31055.0,34228.0,33565.0,38388.0,39264.0,42054.0,43249.0,47908.0,53483.0,68126.0,79126.0,83816.0,91494.0,99214.0,101458.0,104396.0,112228.0,114794.0,115944.0,115445.0,114391.0,114873.0,107134.0,104003.0,97706.0,90622.0,85616.0,80798.0,79547.0,76534.0,..,..,..,..
Spain,682568.0,697789.0,721806.0,750201.0,810391.0,,857036.0,935126.0,976558.0,1036439.0,1101297.0,1165771.0,1222089.0,1301748.0,1370689.0,1469468.0,1526985.0,1591863.0,1684445.0,1745170.0,1786778.0,1828987.0,1833527.0,1832760.0,1840607.0,1839903.0,1809353.0,1789254.0,1777498.0,1781019.0,1800834.0,1878973.0,1950482.0,1965829.0,1969413.0,1982162.0,1963924.0,1968702.0,2010183.0,2051826.0,..,..,..,..
Sweden,200999.0,171356.0,176115.0,181103.0,184199.0,,179478.0,176589.0,175588.0,178423.0,181146.0,184812.0,192611.0,207265.0,222826.0,234466.0,245932.0,261209.0,275217.0,280712.0,335124.0,346878.0,358020.0,382851.0,414657.0,429623.0,426723.0,422614.0,413710.0,406879.0,422580.0,455025.0,463530.0,453328.0,436603.0,429444.0,428557.0,426188.0,426354.0,431065.0,..,..,..,..
Switzerland,81530.0,85127.0,88385.0,90568.0,95661.0,,105897.0,110111.0,117017.0,121693.0,125158.0,132753.0,137486.0,143067.0,146266.0,148664.0,148154.0,148024.0,..,152653.0,156390.0,156879.0,163373.0,170085.0,185965.0,195947.0,199696.0,204999.0,213112.0,224469.0,233488.0,248639.0,257696.0,269573.0,279832.0,289722.0,294450.0,295149.0,300618.0,306743.0,..,..,..,..
Turkiye,279779.0,246183.0,254446.0,281929.0,335080.0,,417225.0,469992.0,505091.0,534459.0,594662.0,685500.0,749921.0,810781.0,923719.0,1143083.0,1174299.0,..,1434033.0,1409627.0,1464740.0,..,1607388.0,1677936.0,1918483.0,1972662.0,2106351.0,2342898.0,2453664.0,2532622.0,2924281.0,3529334.0,3817086.0,4353542.0,4975690.0,5472521.0,6062886.0,6689185.0,7198987.0,7560371.0,..,..,..,..
United Kingdom,795985.0,827146.0,858416.0,980538.0,1000168.0,,1006969.0,1032491.0,1068386.0,1086092.0,1113341.0,1177792.0,1258188.0,1385072.0,1528389.0,1664025.0,1813280.0,1820849.0,1891450.0,1938423.0,2080960.0,2024138.0,2067349.0,2240680.0,2287833.0,2247441.0,2287541.0,2336111.0,2362815.0,2329494.0,2415222.0,2479197.0,2492284.0,2495779.0,2386199.0,2352932.8,2330334.5,2387280.2,2431886.4,2467086.4,..,..,..,..
United States,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19700221.0,19531727.0,19288423.5,19014530.1,18941967.4,..,..,..,..
Latvia,..,47230.0,47230.0,46554.0,45792.0,,45207.0,43914.0,43316.0,43705.0,44247.0,45615.0,45953.0,46279.0,43610.0,40180.0,40330.0,46696.0,56187.0,70233.0,82042.0,91237.0,102783.0,110500.0,118944.0,127656.0,130706.0,131125.0,129497.0,127760.0,125360.0,112567.0,103856.0,97041.0,94474.0,89671.0,85881.0,84282.0,82914.0,81602.0,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
