Country,Year,Government Expenditure On Education (%)
BLR,1999,6.00001
BLR,2000,6.19662
BLR,2004,5.71226
BLR,2005,5.87103
BLR,2006,6.07696
BLR,2007,5.1521
BLR,2009,4.36894
BLR,2010,5.22004
BLR,2011,4.68479
BLR,2012,4.95964
BLR,2013,5.00942
BLR,2014,4.81831
BLR,2015,4.78752
BLR,2016,4.94655
BLR,2017,4.79499
BLR,2018,5.38111
BLR,2019,4.97948
BLR,2020,4.95245
BLR,2021,4.70553
BEL,1913,1.2
BEL,1960,4.6
BEL,1975,5.76282
BEL,1976,5.73104
BEL,1977,5.98883
BEL,1978,5.43634
BEL,1979,5.38035
BEL,1980,5.31064
BEL,1981,5.43532
BEL,1982,5.31673
BEL,1986,4.85229
BEL,1987,4.57713
BEL,1988,4.30072
BEL,1993,5.37231
BEL,1994,5.41104
BEL,1995,2.98866
BEL,1996,3.04948
BEL,2005,5.79586
BEL,2008,6.33294
BEL,2009,6.4581
BEL,2010,6.44259
BEL,2011,6.43199
BEL,2012,6.255765
BEL,2013,6.63053
BEL,2014,6.59047
BEL,2015,6.45157
BEL,2016,6.46173
BEL,2017,6.42534
BEL,2018,6.38137
BEL,2019,6.33976
BEL,2020,6.71
BLZ,1999,5.44227
BLZ,2000,5.02843
BLZ,2001,5.79693
BLZ,2003,5.24821
BLZ,2004,5.3359
BLZ,2008,5.77263
BLZ,2009,6.17817
BLZ,2010,6.71976
BLZ,2013,6.42537
BLZ,2014,6.61469
BLZ,2015,6.87015
BLZ,2016,7.29365
BLZ,2017,7.45028
BLZ,2018,7.47227
BLZ,2019,7.13839
BLZ,2020,7.52878
BLZ,2021,8.70701
BEN,1998,2.74789
BEN,1999,1.92194
BEN,2000,2.11366
BEN,2001,2.3651
BEN,2002,2.15949
BEN,2003,2.28316
BEN,2004,2.5669
BEN,2005,2.65668
BEN,2006,2.5634
BEN,2007,2.36331
BEN,2008,2.77728
BEN,2009,3.08927
BEN,2010,3.67997
BEN,2011,4.39788
BEN,2012,3.56202
BEN,2013,3.32751
BEN,2014,3.16179
BEN,2015,3.17298
BEN,2016,2.8991
BEN,2017,3.53559
BEN,2018,2.93162
BEN,2019,2.9652
BEN,2020,3.00366
BMU,1973,4.1079
BMU,1975,3.43442
BMU,1985,3.03449
BMU,1990,3.1362
BMU,1991,3.15065
BMU,1992,3.47605
BMU,1998,2.15227
BMU,2003,1.66627
BMU,2004,1.77588
BMU,2005,1.98877
BMU,2009,2.2892
BMU,2010,2.30669
BMU,2014,1.53688
BMU,2015,1.50164
BMU,2016,1.9154439
BMU,2017,1.32496
BMU,2018,1.9359547
BMU,2019,1.9272379
BMU,2020,1.8747712
BMU,2021,1.8971605
BTN,2000,5.78676
BTN,2001,5.91573
BTN,2004,6.60907
BTN,2005,7.28715
BTN,2008,4.91159
BTN,2009,4.74174
BTN,2010,4.12473
BTN,2011,4.76523
BTN,2012,7.773544
BTN,2013,5.72275
BTN,2014,6.0449
BTN,2015,6.2731895
BTN,2016,6.9933324
BTN,2017,7.395398
BTN,2018,6.8010335
BTN,2019,5.6754456
BTN,2020,5.9014177
BTN,2021,7.003524
BOL,2010,7.81
BOL,2011,7.07
BOL,2012,7.9
BOL,2013,7.58
BOL,2014,8.26
BOL,2015,8.94
BOL,2016,8.85
BOL,2017,8.66
BOL,2018,8.9
BOL,2019,7.67269
BOL,2020,9.837455
BWA,1971,4.38724
BWA,1972,3.90639
BWA,1973,3.26279
BWA,1974,3.67424
BWA,1975,5.64943
BWA,1976,6.06396
BWA,1977,5.40031
BWA,1978,5.95214
BWA,1979,6.14173
BWA,1980,5.46932
BWA,1983,5.55227
BWA,1984,5.55166
BWA,1985,5.65072
BWA,1986,5.18593
BWA,1987,6.11773
BWA,1988,6.15111
BWA,1990,5.73963
BWA,1992,6.84061
BWA,2005,10.67859
BWA,2007,8.85149
BWA,2009,9.63292
BWA,2015,7.80651
BWA,2016,7.97483
BWA,2017,7.29975
BWA,2018,6.72131
BWA,2019,6.91437
BWA,2020,8.74
BRA,1995,4.56816
BRA,1998,4.75666
BRA,1999,3.80062
BRA,2000,3.94893
BRA,2001,3.84468
BRA,2002,3.75037
BRA,2004,3.97448
BRA,2005,4.47908
BRA,2006,4.8706
BRA,2007,4.97426
BRA,2008,5.26884
BRA,2009,5.46355
BRA,2010,5.6488
BRA,2011,5.73741
BRA,2012,5.8551
BRA,2013,5.83885
BRA,2014,5.94848
BRA,2015,6.24106
BRA,2016,6.31404
BRA,2017,6.32048
BRA,2018,6.08851
BRA,2019,5.96347
VGB,1970,10.57367
VGB,1971,8.93536
VGB,1973,7.24023
VGB,2001,2.90477
VGB,2005,3.04633
VGB,2006,3.5148
VGB,2007,3.04367
VGB,2009,3.24165
VGB,2010,3.49771
VGB,2012,3.565696
VGB,2013,4.4693255
VGB,2014,4.0183883
VGB,2015,4.71406
VGB,2016,3.79742
VGB,2017,2.4626
VGB,2018,2.43439
VGB,2019,2.63096
VGB,2020,2.5905
BRN,1970,6.23915
BRN,1971,4.99502
BRN,1972,4.03929
BRN,1973,8.79329
BRN,1974,3.39271
BRN,1975,1.96134
BRN,1976,1.97008
BRN,1978,2.11424
BRN,1979,1.54552
BRN,1980,1.19108
BRN,1981,1.61678
BRN,1982,1.69715
BRN,1987,4.73773
BRN,1988,5.40903
BRN,1989,4.69012
BRN,1990,3.95996
BRN,1991,3.66894
BRN,1992,3.74769
BRN,1993,4.29403
BRN,1998,5.25395
BRN,1999,4.93205
BRN,2000,3.70591
BRN,2010,2.04661
BRN,2011,3.3221
BRN,2012,2.88959
BRN,2014,3.35319
BRN,2016,4.42541
BGR,1980,3.52948
BGR,1990,4.45406
BGR,1991,5.42962
BGR,1992,5.26046
BGR,1993,4.95049
BGR,1994,4.17066
BGR,1995,2.37207
