Country,Year,Population with Tertiary Education (%)
IRL,2013,25.840607
IRL,2014,24.311575
IRL,2015,26.939915
IRL,2016,29.543598
IRL,2017,29.879089
IRL,2018,31.170588
IRL,2019,32.16758
IRL,2020,33.423557
KOR,2013,15.070721
KOR,2014,17.33942
KOR,2015,18.330021
KOR,2016,19.659506
KOR,2017,21.343103
KOR,2018,23.097208
KOR,2019,24.380547
KOR,2020,25.077141
DNK,2013,28.404854
DNK,2014,29.069925
DNK,2015,27.946083
DNK,2016,29.706284
DNK,2017,30.281456
DNK,2018,30.057343
DNK,2019,30.750969
DNK,2020,29.927095
DEU,2013,26.589605
DEU,2014,25.469536
DEU,2015,25.612535
DEU,2016,26.290979
DEU,2017,26.336317
DEU,2018,26.330261
DEU,2019,26.91873
DEU,2020,27.56699
ISL,2013,24.776773
ISL,2014,27.99505
ISL,2015,28.342468
ISL,2016,26.994028
ISL,2017,28.556139
ISL,2018,28.869511
ISL,2019,29.809109
ISL,2020,31.339321
JPN,2013,33.763187
JPN,2014,35.049019
JPN,2015,38.177181
JPN,2016,39.72332
JPN,2017,41.066666
JPN,2018,43.001347
JPN,2019,44.489521
JPN,2020,45.491524
MEX,2013,11.506743
MEX,2014,11.814732
MEX,2015,12.136959
MEX,2016,12.60333
MEX,2017,13.356908
MEX,2018,13.942506
MEX,2019,13.611008
MEX,2020,15.106633
NOR,2013,30.826307
NOR,2014,31.675568
NOR,2015,32.859974
NOR,2016,32.973148
NOR,2017,33.182407
NOR,2018,34.274593
NOR,2019,34.234402
NOR,2020,34.497135
SVK,2013,13.859944
SVK,2014,13.881691
SVK,2015,13.394305
SVK,2016,13.909225
SVK,2017,15.743619
SVK,2018,15.587601
SVK,2019,16.076309
SVK,2020,17.428858
ISR,2013,46.746094
ISR,2014,47.39373
ISR,2015,47.231915
ISR,2016,47.615772
ISR,2017,48.143841
ISR,2018,46.966572
ISR,2019,46.874813
ISR,2020,46.143837
LVA,2013,40.700375
LVA,2014,39.436726
LVA,2015,39.870365
LVA,2016,42.097309
LVA,2017,41.608852
LVA,2018,41.648941
LVA,2019,43.811146
LVA,2020,44.246166
COL,2013,25.85615
COL,2014,27.70174
COL,2015,27.799637
COL,2016,28.592394
COL,2017,28.60932
COL,2018,29.486078
COL,2019,30.603748
COL,2020,30.753975
COL,2013,13.69706
COL,2014,14.358308
COL,2015,14.488568
COL,2016,14.622467
COL,2017,14.610387
COL,2018,15.275399
COL,2019,15.485025
COL,2020,15.884255
LVA,2013,24.828592
LVA,2014,23.0198
LVA,2015,24.735071
LVA,2016,26.995855
LVA,2017,27.114574
LVA,2018,25.889235
LVA,2019,27.810316
LVA,2020,29.316635
LTU,2013,50.487457
LTU,2014,52.552208
LTU,2015,54.769646
LTU,2016,54.926018
LTU,2017,55.625957
LTU,2018,55.581402
LTU,2019,55.187374
LTU,2020,56.18409
LTU,2013,25.882751
LTU,2014,27.637457
LTU,2015,29.536377
LTU,2016,30.686686
LTU,2017,29.454435
LTU,2018,30.099237
LTU,2019,30.421673
LTU,2020,31.322334
CRI,2013,28.275383
CRI,2014,28.704456
CRI,2015,28.331566
CRI,2016,28.922903
CRI,2017,28.004108
CRI,2018,27.815552
CRI,2019,31.346508
CRI,2020,32.465542
CRI,2013,20.306833
CRI,2014,20.68379
CRI,2015,20.201075
CRI,2016,21.284702
CRI,2017,19.075848
CRI,2018,18.074013
CRI,2019,20.365545
CRI,2020,20.935749
