Country,Year,Household Income per Capita
BEL,2018,35932.8893005777
BEL,2019,38140.756108611
BEL,2020,39526.3078473463
BEL,2021,40778.7972305131
SWE,2007,25738.9814556013
SWE,2008,27299.4719903457
SWE,2009,27267.4923466228
SWE,2010,27803.1072259192
SWE,2011,28934.1725000991
SWE,2012,30565.8161485949
SWE,2013,30645.2417356805
SWE,2014,31112.0448611177
SWE,2015,31745.7773891178
SWE,2016,32921.1457324689
SWE,2017,33389.3591869523
SWE,2018,34174.3383788914
SWE,2019,35654.6132506947
SWE,2020,35622.1579583838
SWE,2021,36993.1734424448
ESP,2007,22364.8250364156
ESP,2008,23317.348625525
ESP,2009,22991.2041823045
ESP,2010,22897.5511488067
ESP,2011,22982.971416413
ESP,2012,22402.2051335687
ESP,2013,23021.399352256
ESP,2014,23479.1030734388
ESP,2015,24640.7765484176
ESP,2016,26018.3906627201
ESP,2017,27136.4617871495
ESP,2018,27746.2357558076
ESP,2019,29804.618270424
ESP,2020,28802.2828959358
ESP,2021,29547.6779898864
EST,2007,13398.3938135673
EST,2008,15100.4988501364
EST,2009,14353.0411603165
EST,2010,14690.8505453895
EST,2011,15645.2209917286
EST,2012,16236.751515705
EST,2013,17465.7408318809
EST,2014,18319.1519276539
EST,2015,19321.3291478592
EST,2016,20727.3170053457
EST,2017,21826.4676290509
EST,2018,23485.9900508542
EST,2019,24916.1181632281
EST,2020,25793.0876189579
EST,2021,26945.2848959443
NOR,2007,28473.5110543008
NOR,2008,29772.3011634362
NOR,2009,30494.5738619126
NOR,2010,31286.6999099862
NOR,2011,32290.4705672169
NOR,2012,33728.8372040277
NOR,2013,35727.9216883881
NOR,2014,36475.0995000899
NOR,2015,36417.8177885806
NOR,2016,36933.1220070835
NOR,2017,39225.3396381929
NOR,2018,40477.564536595
NOR,2019,41853.0727927559
NOR,2020,41855.0660847453
NOR,2021,43850.8234843026
KOR,2007,17814.6029344014
KOR,2008,18514.726674674
KOR,2009,18642.4285182529
KOR,2010,19674.9886129723
KOR,2011,20438.864741522
KOR,2012,21244.0412479003
KOR,2013,21573.3199078738
KOR,2014,21915.9557767694
KOR,2015,23958.2968282339
KOR,2016,24190.5977330586
KOR,2017,24484.53503831
KOR,2018,25736.626905859
KOR,2019,26307.2791629751
KOR,2020,27892.3807884638
KOR,2021,28672.050990317
GBR,2007,26564.4881554604
GBR,2008,27163.0831779131
GBR,2009,26910.6475885457
GBR,2010,27632.9377767968
GBR,2011,27563.1040958994
GBR,2012,28630.6462837624
GBR,2013,29252.6844068104
GBR,2014,29726.9653840956
GBR,2015,30915.3038284633
GBR,2016,31697.7679008483
GBR,2017,32417.6286543526
GBR,2018,33296.7681524208
GBR,2019,34823.1124761365
GBR,2020,34909.4662524586
GBR,2021,36793.1553969446
USA,2007,38661.9922670503
USA,2008,40004.9832010586
USA,2009,39622.4592859003
USA,2010,40752.9956558083
USA,2011,42186.8569013273
USA,2012,43903.2412931925
USA,2013,43860.8338657643
USA,2014,45786.2932500211
USA,2015,47228.4902068529
USA,2016,48258.3778946363
USA,2017,50047.2032368598
USA,2018,52451.2967967785
USA,2019,54747.1648649221
USA,2020,58653.4333450888
USA,2021,62334.1697314675
HUN,2007,13603.5164642203
HUN,2008,14139.7397830801
HUN,2009,14246.6040046809
HUN,2010,15220.7381879418
HUN,2011,16287.5735002264
HUN,2012,16531.7521255845
HUN,2013,17193.9172733869
HUN,2014,17543.0656817193
HUN,2015,17974.1857660738
HUN,2016,18933.3220072533
HUN,2017,19791.3476692934
HUN,2018,21482.3179355094
HUN,2019,23137.5420068115
HUN,2020,23316.0521861173
HUN,2021,25051.2442107623
FIN,2007,24261.6248388968
FIN,2008,25978.2415448409
FIN,2009,26334.7298434393
FIN,2010,27630.5537928286
FIN,2011,28489.4495067786
FIN,2012,29373.983871873
FIN,2013,30093.2105440337
FIN,2014,30263.2133645628
FIN,2015,30849.1223441098
FIN,2016,32273.2230052653
FIN,2017,33377.1258240619
FIN,2018,34675.1907182505
FIN,2019,36302.8561410262
FIN,2020,37106.5203090036
FIN,2021,37699.0627043811
AUT,2007,29403.5290818421
AUT,2008,30475.132374413
AUT,2009,30400.9903274413
AUT,2010,31177.5325711971
AUT,2011,31746.4848535024
AUT,2012,33296.5271462556
AUT,2013,33971.8234744652
AUT,2014,34326.2291407177
AUT,2015,34413.5343174674
AUT,2016,36227.9556316761
AUT,2017,36984.3120142911
AUT,2018,38190.8705617069
AUT,2019,40065.8552764624
AUT,2020,39851.8889882896
AUT,2021,41858.5056059157
LUX,2007,36911.9332419393
LUX,2008,38702.354925876
LUX,2009,38479.5943239623
LUX,2010,37908.7433613473
LUX,2011,39248.2889605426
LUX,2012,40660.6660862493
LUX,2013,43403.071752342
LUX,2014,43282.8569417899
LUX,2015,43476.1403979943
LUX,2016,44505.6035513456
LUX,2017,46535.0945475953
LUX,2018,48794.2367830408
LUX,2019,50089.4349681677
LUX,2020,50856.6231743111
LUX,2021,51465.379629899
FRA,2007,26992.0668668151
FRA,2008,27756.5303694484
FRA,2009,27878.783870168
FRA,2010,29168.8848984543
FRA,2011,29757.8903248459
FRA,2012,30369.3747884718
FRA,2013,31388.0207749005
FRA,2014,31699.9141206895
FRA,2015,31890.7023268608
FRA,2016,33550.6700073678
FRA,2017,34316.3133231532
FRA,2018,35280.4130143154
FRA,2019,37576.941750325
FRA,2020,38534.4402559513
FRA,2021,39851.5142894296
NZL,2007,20622.430444128
NZL,2008,21181.8124509348
NZL,2009,21493.445565578
NZL,2010,22208.6179978369
NZL,2011,23343.7015402789
NZL,2012,23864.9975499336
NZL,2013,24794.4400239715
NZL,2014,24986.6895967349
NZL,2015,25507.7308466571
NZL,2016,27383.1380016027
NZL,2017,28766.3469770512
NZL,2018,29567.1757453887
NZL,2019,32605.6902882177
DNK,2007,23709.7214556707
DNK,2008,24628.5000223929
DNK,2009,25269.4115683377
DNK,2010,27066.7323754663
DNK,2011,27671.8631486807
DNK,2012,28226.796578206
DNK,2013,29302.6636572859
DNK,2014,29543.8327968615
DNK,2015,30507.1829275656
DNK,2016,31950.5301364607
DNK,2017,33441.2777459902
DNK,2018,34714.1638787589
DNK,2019,36126.0856648821
DNK,2020,36639.3548119929
DNK,2021,37395.2678014276
LVA,2007,13236.4590278681
LVA,2008,14681.8275756788
LVA,2009,12783.556847413
LVA,2010,13304.413241548
LVA,2011,13227.5267602783
LVA,2012,14457.2565638527
LVA,2013,15351.1414007683
LVA,2014,16226.3362357635
LVA,2015,17350.2032922342
LVA,2016,18769.0733832418
LVA,2017,19936.9326307317
LVA,2018,21259.527297963
LVA,2019,22763.7226977441
LVA,2020,23596.9652075953
LVA,2021,25734.730541891
TUR,2009,11766.756782369
TUR,2010,13264.283693376
TUR,2011,14997.2659132168
TUR,2012,15597.3217850794
TUR,2013,17002.3963411323
TUR,2014,18268.4585990592
TUR,2015,19693.675138809
TUR,2016,20641.0129385635
TUR,2017,21799.9781003222
LTU,2007,13959.6065670771
LTU,2008,15823.2323336808
LTU,2009,15040.6753266551
LTU,2010,16206.7324319268
LTU,2011,17293.5748328713
LTU,2012,18333.5478353043
LTU,2013,19736.4197762918
LTU,2014,20332.6277580693
LTU,2015,21186.4224513898
LTU,2016,23290.2509387044
LTU,2017,24464.7840278734
LTU,2018,25808.3818038189
LTU,2019,28781.8264276591
LTU,2020,30631.798214174
LTU,2021,30873.7711526665
CRI,2012,11946.2853408554
CRI,2013,12262.593207226
CRI,2014,12876.2954137459
CRI,2015,13519.5879422945
CRI,2016,14675.8886312115
CRI,2017,16130.4937390182
CRI,2018,16619.155337857
CRI,2019,17161.1236227347
CRI,2020,16331.3805395522
