Country,Year,Private Spending on Education (%)
COL,2018,0.9822045
COL,2019,0.9450535
COL,2020,1.041224
LVA,1995,0.1997954
LVA,2000,0.4681801
LVA,2005,0.5967566
LVA,2008,0.4730121
LVA,2009,0.4575639
LVA,2010,0.4667934
LVA,2011,0.5339239
LVA,2012,0.4678536
LVA,2013,0.4044942
LVA,2014,0.2816526
LVA,2015,0.3373595
LVA,2016,0.3210335
LVA,2017,0.3431154
LVA,2018,0.374176
LVA,2019,0.4575398
LVA,2020,0.45795849
CRI,2013,0.9369479
CRI,2020,0.1388337
LTU,2005,0.465955
LTU,2008,0.4170292
LTU,2009,0.5281627
LTU,2010,0.4943491
LTU,2011,0.4620565
LTU,2012,0.4282491
LTU,2013,0.3988094
LTU,2014,0.3712114
LTU,2015,0.3764235
LTU,2016,0.3383864
LTU,2017,0.3101643
LTU,2018,0.3042894
LTU,2019,0.2980194
LTU,2020,0.3338626
