Country,Year,Public Spending on Education (%)
FRA,2019,1.11282
FRA,2020,1.167235
DEU,2005,0.8814559
DEU,2008,0.9259072
DEU,2010,1.021222
DEU,2011,1.031522
DEU,2013,1.025923
DEU,2014,1.033898
DEU,2015,1.018219
DEU,2016,1.014411
DEU,2017,1.00804
DEU,2018,1.032454
DEU,2019,1.03855
DEU,2020,1.109033
HUN,1995,0.7780028
HUN,2000,0.8466644
HUN,2005,0.8474066
HUN,2008,0.8514781
HUN,2009,0.9338733
HUN,2010,0.8138608
HUN,2011,0.9354359
HUN,2013,0.7780202
HUN,2014,0.6507813
HUN,2015,0.5456628
HUN,2016,0.6604713
HUN,2017,0.7035618
HUN,2018,0.722808
HUN,2019,0.6208345
HUN,2020,0.62446988
ISL,2000,0.9345641
ISL,2005,1.07951
ISL,2008,1.074905
ISL,2009,1.100927
ISL,2010,1.028285
ISL,2011,0.9733869
ISL,2013,1.080411
ISL,2014,1.101267
ISL,2015,1.1058
ISL,2016,1.110522
ISL,2017,1.138857
ISL,2018,1.039984
ISL,2019,1.115631
ISL,2020,1.242178
IRL,1995,0.8597054
IRL,2000,1.095972
IRL,2005,0.8966463
IRL,2008,1.107949
IRL,2009,1.268221
IRL,2010,1.168002
IRL,2011,1.098242
IRL,2013,0.9309936
IRL,2014,0.8200776
IRL,2015,0.6778802
IRL,2016,0.6665523
IRL,2017,0.6140575
IRL,2018,0.5958452
IRL,2019,0.5698551
IRL,2020,0.56698519
ITA,1995,0.5913726
ITA,2000,0.6335858
ITA,2005,0.6075383
ITA,2008,0.641295
ITA,2009,0.6445708
ITA,2010,0.6306764
ITA,2011,0.6193513
ITA,2013,0.6276676
ITA,2014,0.6072653
ITA,2015,0.5687661
ITA,2016,0.5426367
ITA,2017,0.5551374
ITA,2018,0.5584719
ITA,2019,0.55187
ITA,2020,0.62279528
JPN,2005,0.4538096
JPN,2010,0.504977
JPN,2011,0.4567796
JPN,2013,0.5189706
JPN,2014,0.4958162
JPN,2015,0.4539682
JPN,2016,0.4175691
JPN,2017,0.4258072
JPN,2018,0.4376323
JPN,2019,0.4504376
JPN,2020,0.48993641
KOR,2015,0.6187198
KOR,2016,0.6165027
KOR,2017,0.5939833
KOR,2018,0.6220148
KOR,2019,0.580065
KOR,2020,0.6731475
MEX,1995,0.6515815
MEX,2000,0.6835283
MEX,2005,0.7917242
MEX,2008,0.8434395
MEX,2009,0.9574725
MEX,2010,0.9435381
MEX,2011,0.8418399
MEX,2013,0.9502726
MEX,2014,1.006192
MEX,2015,1.000667
MEX,2016,0.9432187
MEX,2017,0.8313277
MEX,2018,0.8207449
MEX,2019,0.7744623
MEX,2020,0.83505893
NLD,1995,1.160544
NLD,2000,0.9689017
NLD,2005,1.033781
NLD,2008,0.9983744
NLD,2009,1.089515
NLD,2010,1.120781
NLD,2011,1.125165
NLD,2013,1.153453
NLD,2014,1.15734
NLD,2015,1.154288
NLD,2016,1.143769
NLD,2017,1.128303
NLD,2018,1.135061
NLD,2019,1.141498
NLD,2020,1.2073669
NZL,2000,0.8027696
NZL,2005,0.9632177
NZL,2008,1.089103
NZL,2009,1.118528
NZL,2010,1.102441
NZL,2011,1.041047
