Country,Year,Government Spending Teritary (% GDP)
SVK,1985,..
SVN,1985,..
ESP,1985,..
SWE,1985,..
CHE,1985,0.8
TUR,1985,0.5
GBR,1985,1.0
USA,1985,..
LVA,1985,..
,1985,
AUS,1986,1.7
AUT,1986,1.1
BEL,1986,0.9
CAN,1986,1.9
CHL,1986,..
COL,1986,..
CRI,1986,1.9
CZE,1986,..
DNK,1986,1.4
EST,1986,..
FIN,1986,1.0
FRA,1986,0.7
DEU,1986,..
GRC,1986,0.4
HUN,1986,..
ISL,1986,..
IRL,1986,1.0
ISR,1986,1.2
ITA,1986,0.7
JPN,1986,..
KOR,1986,0.4
LTU,1986,..
LUX,1986,0.1
MEX,1986,..
NLD,1986,1.5
NZL,1986,1.0
NOR,1986,0.8
POL,1986,..
PRT,1986,0.5
SVK,1986,..
SVN,1986,..
ESP,1986,..
SWE,1986,..
CHE,1986,0.9
TUR,1986,0.3
GBR,1986,0.9
USA,1986,..
LVA,1986,..
,1986,
AUS,1987,1.6
AUT,1987,1.1
BEL,1987,0.9
CAN,1987,2.0
CHL,1987,0.6
COL,1987,..
CRI,1987,..
CZE,1987,..
DNK,1987,1.3
EST,1987,..
FIN,1987,1.1
FRA,1987,0.7
DEU,1987,..
GRC,1987,0.4
HUN,1987,..
ISL,1987,..
IRL,1987,1.1
ISR,1987,1.0
ITA,1987,..
JPN,1987,1.3
KOR,1987,0.4
LTU,1987,..
LUX,1987,0.2
MEX,1987,..
NLD,1987,1.9
NZL,1987,1.1
NOR,1987,0.9
POL,1987,..
PRT,1987,0.6
SVK,1987,..
SVN,1987,..
ESP,1987,0.5
SWE,1987,..
CHE,1987,0.9
TUR,1987,..
GBR,1987,0.9
USA,1987,..
LVA,1987,..
,1987,
AUS,1988,1.6
AUT,1988,1.1
BEL,1988,0.8
CAN,1988,1.9
CHL,1988,..
COL,1988,..
CRI,1988,1.7
CZE,1988,..
DNK,1988,1.5
EST,1988,..
FIN,1988,1.2
FRA,1988,0.7
DEU,1988,..
GRC,1988,0.4
HUN,1988,..
ISL,1988,..
IRL,1988,1.0
ISR,1988,0.8
ITA,1988,0.7
JPN,1988,1.3
KOR,1988,0.3
LTU,1988,..
LUX,1988,0.1
MEX,1988,..
NLD,1988,1.7
NZL,1988,1.4
NOR,1988,0.9
POL,1988,..
PRT,1988,0.6
SVK,1988,..
SVN,1988,..
ESP,1988,0.5
SWE,1988,..
CHE,1988,0.9
TUR,1988,..
GBR,1988,0.9
USA,1988,..
LVA,1988,..
,1988,
AUS,1989,1.6
AUT,1989,1.0
BEL,1989,..
CAN,1989,1.9
CHL,1989,..
COL,1989,0.5
CRI,1989,1.7
CZE,1989,..
DNK,1989,1.0
EST,1989,..
FIN,1989,1.2
FRA,1989,0.7
DEU,1989,..
GRC,1989,0.5
HUN,1989,..
ISL,1989,..
IRL,1989,0.9
ISR,1989,1.0
ITA,1989,..
JPN,1989,1.3
KOR,1989,0.3
LTU,1989,..
LUX,1989,0.1
MEX,1989,0.4
NLD,1989,..
NZL,1989,1.6
NOR,1989,1.0
POL,1989,..
PRT,1989,0.6
SVK,1989,..
SVN,1989,..
ESP,1989,0.6
SWE,1989,..
CHE,1989,0.9
TUR,1989,..
GBR,1989,0.8
USA,1989,..
LVA,1989,..
,1989,
AUS,1990,1.6
AUT,1990,1.0
BEL,1990,..
CAN,1990,1.9
CHL,1990,0.5
COL,1990,..
CRI,1990,..
CZE,1990,..
DNK,1990,..
EST,1990,..
FIN,1990,1.4
FRA,1990,0.7
DEU,1990,..
GRC,1990,0.5
HUN,1990,..
ISL,1990,0.6
IRL,1990,1.0
ISR,1990,0.9
ITA,1990,..
JPN,1990,..
KOR,1990,0.3
LTU,1990,..
LUX,1990,..
MEX,1990,0.4
NLD,1990,1.7
NZL,1990,..
NOR,1990,1.1
POL,1990,..
PRT,1990,0.7
SVK,1990,..
SVN,1990,..
ESP,1990,0.7
SWE,1990,1.1
CHE,1990,0.9
TUR,1990,..
GBR,1990,0.8
USA,1990,..
LVA,1990,..
,1990,
AUS,1991,1.6
AUT,1991,1.1
BEL,1991,..
CAN,1991,1.9
CHL,1991,..
COL,1991,..
CRI,1991,..
CZE,1991,..
DNK,1991,1.2
EST,1991,..
FIN,1991,1.8
FRA,1991,0.7
DEU,1991,..
GRC,1991,0.5
HUN,1991,0.8
ISL,1991,..
IRL,1991,1.0
ISR,1991,0.9
ITA,1991,..
JPN,1991,..
KOR,1991,0.3
LTU,1991,..
LUX,1991,..
MEX,1991,0.4
NLD,1991,1.7
NZL,1991,..
NOR,1991,1.6
POL,1991,0.7
PRT,1991,0.7
SVK,1991,..
SVN,1991,0.8
ESP,1991,0.7
SWE,1991,1.1
CHE,1991,1.0
TUR,1991,..
GBR,1991,0.9
USA,1991,..
LVA,1991,..
,1991,
AUS,1992,1.5
AUT,1992,1.1
BEL,1992,..
CAN,1992,2.1
CHL,1992,..
COL,1992,..
CRI,1992,..
CZE,1992,0.5
DNK,1992,..
EST,1992,..
FIN,1992,2.0
FRA,1992,0.8
DEU,1992,..
GRC,1992,..
HUN,1992,1.1
ISL,1992,..
IRL,1992,1.1
ISR,1992,1.0
ITA,1992,..
JPN,1992,..
KOR,1992,0.3
LTU,1992,..
LUX,1992,..
MEX,1992,0.5
NLD,1992,..
NZL,1992,..
NOR,1992,1.7
POL,1992,0.8
PRT,1992,0.8
SVK,1992,0.9
SVN,1992,1.0
ESP,1992,0.7
SWE,1992,1.1
CHE,1992,..
TUR,1992,..
GBR,1992,0.9
USA,1992,..
LVA,1992,..
,1992,
AUS,1993,1.5
AUT,1993,1.1
BEL,1993,0.9
CAN,1993,2.1
CHL,1993,0.5
COL,1993,..
CRI,1993,..
CZE,1993,0.8
DNK,1993,2.0
EST,1993,0.9
FIN,1993,2.1
FRA,1993,0.9
DEU,1993,1.0
GRC,1993,..
HUN,1993,1.0
ISL,1993,1.1
IRL,1993,1.1
ISR,1993,1.0
ITA,1993,0.8
JPN,1993,0.4
KOR,1993,0.3
LTU,1993,..
LUX,1993,..
MEX,1993,..
NLD,1993,1.5
NZL,1993,..
NOR,1993,2.0
POL,1993,0.7
PRT,1993,0.8
SVK,1993,0.7
SVN,1993,0.9
ESP,1993,0.8
SWE,1993,1.4
CHE,1993,1.1
TUR,1993,0.8
GBR,1993,..
USA,1993,..
LVA,1993,..
,1993,
AUS,1994,1.5
AUT,1994,..
BEL,1994,1.1
CAN,1994,2.3
CHL,1994,0.5
COL,1994,..
CRI,1994,..
CZE,1994,0.7
DNK,1994,1.9
EST,1994,0.9
FIN,1994,1.8
FRA,1994,0.9
DEU,1994,1.0
GRC,1994,..
HUN,1994,1.1
ISL,1994,0.9
IRL,1994,1.2
ISR,1994,1.1
ITA,1994,0.7
JPN,1994,0.5
KOR,1994,0.2
LTU,1994,..
LUX,1994,..
MEX,1994,0.7
NLD,1994,1.4
NZL,1994,1.6
NOR,1994,2.0
POL,1994,..
PRT,1994,0.8
SVK,1994,0.6
SVN,1994,1.0
ESP,1994,0.8
SWE,1994,..
CHE,1994,1.0
TUR,1994,1.2
GBR,1994,1.1
USA,1994,..
LVA,1994,..
,1994,
AUS,1995,1.4
AUT,1995,1.2
BEL,1995,0.6
