Country,Year,Government Spending Teritary (% GDP)
GRC,2015,0.7
HUN,2015,0.6
ISL,2015,1.4
IRL,2015,0.9
ISR,2015,1.0
ITA,2015,0.8
JPN,2015,..
KOR,2015,0.9
LTU,2015,1.2
LUX,2015,0.5
MEX,2015,1.1
NLD,2015,1.6
NZL,2015,1.6
NOR,2015,2.0
POL,2015,1.2
PRT,2015,0.9
SVK,2015,1.4
SVN,2015,1.0
ESP,2015,1.0
SWE,2015,1.9
CHE,2015,1.3
TUR,2015,..
GBR,2015,1.3
USA,2015,1.4
LVA,2015,1.2
,2015,
AUS,2016,1.4
AUT,2016,1.8
BEL,2016,1.4
CAN,2016,1.6
CHL,2016,1.4
COL,2016,1.0
CRI,2016,1.6
CZE,2016,0.7
DNK,2016,..
EST,2016,1.4
FIN,2016,1.8
FRA,2016,..
DEU,2016,1.3
GRC,2016,..
HUN,2016,0.7
ISL,2016,1.5
IRL,2016,0.7
ISR,2016,0.9
ITA,2016,0.7
JPN,2016,0.6
KOR,2016,0.9
LTU,2016,0.8
LUX,2016,..
MEX,2016,1.0
NLD,2016,1.7
NZL,2016,1.5
NOR,2016,2.1
POL,2016,1.1
PRT,2016,..
SVK,2016,0.8
SVN,2016,0.9
ESP,2016,0.9
SWE,2016,1.8
CHE,2016,1.3
TUR,2016,..
GBR,2016,1.4
USA,2016,1.2
LVA,2016,0.8
,2016,
AUS,2017,1.3
AUT,2017,1.7
BEL,2017,1.5
CAN,2017,1.7
CHL,2017,1.4
COL,2017,1.0
CRI,2017,1.7
CZE,2017,0.7
DNK,2017,2.5
EST,2017,1.1
FIN,2017,1.7
FRA,2017,1.2
DEU,2017,1.3
GRC,2017,0.6
HUN,2017,0.8
ISL,2017,1.4
IRL,2017,1.0
ISR,2017,0.9
ITA,2017,0.8
JPN,2017,0.6
KOR,2017,..
LTU,2017,0.8
LUX,2017,0.5
MEX,2017,0.9
NLD,2017,1.6
NZL,2017,1.5
NOR,2017,2.1
POL,2017,1.1
PRT,2017,0.8
SVK,2017,0.8
SVN,2017,0.9
ESP,2017,0.9
SWE,2017,1.8
CHE,2017,1.4
TUR,2017,..
GBR,2017,1.4
USA,2017,1.5
LVA,2017,0.7
,2017,
AUS,2018,..
AUT,2018,..
BEL,2018,..
CAN,2018,..
CHL,2018,..
COL,2018,1.0
CRI,2018,1.6
CZE,2018,..
DNK,2018,..
EST,2018,..
FIN,2018,..
FRA,2018,..
DEU,2018,..
GRC,2018,..
HUN,2018,..
ISL,2018,..
IRL,2018,..
ISR,2018,..
ITA,2018,..
JPN,2018,..
KOR,2018,..
LTU,2018,..
LUX,2018,..
MEX,2018,..
NLD,2018,..
NZL,2018,..
NOR,2018,..
POL,2018,..
PRT,2018,..
SVK,2018,..
SVN,2018,..
ESP,2018,..
SWE,2018,..
CHE,2018,..
TUR,2018,..
GBR,2018,..
USA,2018,..
LVA,2018,..
,2018,
AUS,2019,..
AUT,2019,..
BEL,2019,..
CAN,2019,..
CHL,2019,..
COL,2019,..
CRI,2019,1.6
CZE,2019,..
DNK,2019,..
EST,2019,..
FIN,2019,..
FRA,2019,..
DEU,2019,..
GRC,2019,..
HUN,2019,..
ISL,2019,..
IRL,2019,..
ISR,2019,..
ITA,2019,..
JPN,2019,..
KOR,2019,..
LTU,2019,..
LUX,2019,..
MEX,2019,..
NLD,2019,..
NZL,2019,..
NOR,2019,..
POL,2019,..
PRT,2019,..
SVK,2019,..
SVN,2019,..
ESP,2019,..
SWE,2019,..
CHE,2019,..
TUR,2019,..
GBR,2019,..
USA,2019,..
LVA,2019,..
,2019,
AUS,2020,..
AUT,2020,..
BEL,2020,..
CAN,2020,..
CHL,2020,..
COL,2020,..
CRI,2020,..
CZE,2020,..
DNK,2020,..
EST,2020,..
FIN,2020,..
FRA,2020,..
DEU,2020,..
GRC,2020,..
HUN,2020,..
ISL,2020,..
IRL,2020,..
ISR,2020,..
ITA,2020,..
JPN,2020,..
KOR,2020,..
LTU,2020,..
LUX,2020,..
MEX,2020,..
NLD,2020,..
NZL,2020,..
NOR,2020,..
POL,2020,..
PRT,2020,..
SVK,2020,..
SVN,2020,..
ESP,2020,..
SWE,2020,..
CHE,2020,..
TUR,2020,..
GBR,2020,..
USA,2020,..
LVA,2020,..
,2020,
AUS,2021,..
AUT,2021,..
BEL,2021,..
CAN,2021,..
CHL,2021,..
COL,2021,..
CRI,2021,..
CZE,2021,..
DNK,2021,..
EST,2021,..
FIN,2021,..
FRA,2021,..
DEU,2021,..
GRC,2021,..
HUN,2021,..
ISL,2021,..
IRL,2021,..
ISR,2021,..
ITA,2021,..
JPN,2021,..
KOR,2021,..
LTU,2021,..
LUX,2021,..
MEX,2021,..
NLD,2021,..
NZL,2021,..
NOR,2021,..
POL,2021,..
PRT,2021,..
SVK,2021,..
SVN,2021,..
ESP,2021,..
SWE,2021,..
CHE,2021,..
TUR,2021,..
GBR,2021,..
USA,2021,..
LVA,2021,..
,2021,
AUS,2022,..
AUT,2022,..
BEL,2022,..
CAN,2022,..
CHL,2022,..
COL,2022,..
CRI,2022,..
CZE,2022,..
DNK,2022,..
EST,2022,..
FIN,2022,..
FRA,2022,..
DEU,2022,..
GRC,2022,..
HUN,2022,..
ISL,2022,..
IRL,2022,..
ISR,2022,..
ITA,2022,..
JPN,2022,..
KOR,2022,..
LTU,2022,..
LUX,2022,..
MEX,2022,..
NLD,2022,..
NZL,2022,..
NOR,2022,..
POL,2022,..
PRT,2022,..
SVK,2022,..
SVN,2022,..
ESP,2022,..
SWE,2022,..
CHE,2022,..
TUR,2022,..
GBR,2022,..
USA,2022,..
LVA,2022,..
,2022,
