Country,Year,Primary Enrollment rate (% gross),Secondary Enrollment rate (% gross),Tertiary Enrollment rate (% gross)
BGD,1986,69.50491,20.22071,4.98486
BGD,1987,68.42335,20.62133,4.32374
BGD,1988,80.45109,20.52153,3.7182
BGD,1990,83.79701,20.90838,4.20896
BGD,2017,114.61563,69.66318,18.15146
BGD,2018,116.46635,72.6906,20.560541
BGD,2020,119.55645,74.36008,23.965433
BGD,2021,115.94665,75.49359,25.101595
BGD,1998,,45.16392,
BGD,1999,,48.33118,5.63344
BGD,2001,,51.03987,6.65154
BGD,2002,,52.19579,6.34442
BGD,2003,,51.93294,6.39096
BGD,2012,,55.20997,13.801
BGD,2015,,65.62919,13.78741
BGD,2016,,71.41585,17.87436
BRB,1999,102.21819,107.01127,34.96663
BRB,2000,100.65389,103.62408,40.57286
BRB,2001,99.27465,103.50712,39.82133
BRB,2002,96.76539,104.33392,
BRB,2003,96.64907,105.44677,
BRB,2004,94.95598,107.72265,
BRB,2005,96.12875,108.539,
BRB,2006,98.246,105.88444,
BRB,2007,99.64702,105.39451,59.73393
BRB,2008,101.16892,104.47984,
BRB,2009,100.45971,103.22714,75.69624
BRB,2010,99.59562,101.9078,69.80744
BRB,2011,98.28399,103.63589,65.42534
BRB,2018,99.35135,103.7039,
BRB,2019,100.33791,102.7072,
BRB,2020,99.65301,104.02252,
BRB,2012,,,
BRB,1971,102.3887,77.87154,3.20629
BRB,1972,100.29967,79.38681,4.20897
BRB,1973,101.34997,80.00111,5.09931
BRB,1974,98.59562,76.23114,5.54165
BRB,1975,104.63755,81.32644,
BRB,1976,107.5484,78.87657,
BRB,1977,114.57996,79.17449,
BRB,1978,116.31311,84.81467,
BRB,1979,115.15071,85.55158,
BRB,1980,101.40284,89.27213,
BRB,1981,98.14097,88.21747,14.42057
BRB,1982,98.251,86.38356,17.57671
BRB,1983,99.7862,87.13196,
BRB,1984,105.95838,88.20534,18.63226
BRB,1985,108.68046,91.60415,19.3693
BRB,1989,119.45409,86.88609,16.81525
BRB,1990,114.46692,85.42653,16.75686
BRB,1992,106.28663,,27.3953
BRB,2014,95.19335,108.12385,
BRB,2015,95.91724,107.52812,
BRB,2016,97.28297,106.5098,
BRB,2017,97.76968,106.32745,
BRB,2021,98.3274,105.4809,
BRB,1991,,,26.12538
BRB,1993,,,25.51108
BLR,1971,102.07229,90.10763,40.97263
BLR,1972,101.12632,91.85532,
BLR,1973,100.18654,94.0225,
BLR,1974,99.01778,96.54114,
BLR,1975,98.60719,97.27603,
BLR,1976,98.49095,97.65984,37.26009
BLR,1977,99.34811,97.70339,
BLR,1978,100.80039,97.37462,
BLR,1979,102.03332,97.38753,
BLR,1980,104.01532,98.2502,38.38587
BLR,1981,105.11163,99.18879,39.68625
BLR,1982,105.94547,99.80648,39.96981
BLR,1983,106.36481,100.44971,41.18185
BLR,1984,107.02503,100.77178,42.57104
BLR,1985,107.78066,100.74965,44.4088
BLR,1986,108.844,100.40037,45.58386
BLR,1990,94.08245,97.3426,49.51083
BLR,1991,96.21901,93.85093,48.20178
BLR,1992,95.89096,93.12221,44.27216
BLR,1993,97.53603,92.19729,43.66906
BLR,1994,97.38446,93.05457,41.68539
BLR,1995,98.2466,94.4002,40.71275
BLR,1996,98.9318,95.76134,44.90518
BLR,1997,99.97601,95.49624,45.57012
BLR,1999,111.39616,,52.65364
BLR,2000,113.71677,,55.08984
BLR,2001,114.99931,,57.51347
BLR,2002,112.47116,,60.09337
BLR,2003,102.3793,,62.86723
BLR,2004,99.97945,,65.01206
BLR,2005,98.43138,,67.57421
BLR,2006,99.36716,,69.71343
BLR,2007,101.78973,,71.66675
BLR,2008,104.84638,111.92559,71.22473
BLR,2009,105.94052,110.7479,74.45922
BLR,2010,104.36969,108.22544,79.57814
BLR,2011,102.12623,107.39142,86.13762
BLR,2012,99.81443,107.21344,92.07143
BLR,2013,98.20725,105.42826,93.54328
BLR,2014,98.30412,105.52314,91.50016
BLR,2015,99.14978,105.469,89.56716
BLR,2016,101.07704,104.79592,88.18458
BLR,2017,101.96579,103.51346,88.45143
BLR,2018,100.50021,102.43953,87.42909
BLR,1987,94.79709,100.30106,46.69733
BLR,1988,94.83006,99.56689,47.64348
BLR,1989,94.08791,98.80797,48.20013
BLR,1998,102.22544,86.66414,49.65984
BLR,2019,98.44673,102.07731,87.75724
BLR,2020,95.34214,103.47229,86.59693
BLR,2021,94.17932,104.64819,82.23885
BEL,1974,103.58981,84.60319,20.50785
BEL,1975,103.86289,83.93175,20.80525
BEL,1976,104.68372,83.64764,
BEL,1977,104.96783,84.80814,
BEL,1978,104.80211,86.90569,24.39679
