Country,Year,GDP per Capita,Population(Million),Average Spending on Higher Education (USD/student),Government Expenditure On Education (%),Government Spending Teritary (% Gov Spending),Household Income per Capita,Number of Universities,Primary Enrollment rate (% gross),Secondary Enrollment rate (% gross),Tertiary Enrollment rate (% gross),Population with Tertiary Education (%)
CZE,2009,27635.96,10.491492,8403.461,4.14606,1.0,18629.1187017599,64,105.97286,93.85027,61.07541,20.240141
CZE,2010,27766.98,10.517247,7953.911,4.0335,0.9,19246.2639273033,64,103.80442,94.65642,63.94588,22.630354
CZE,2011,28999.75,10.496672,9478.244,4.24209,1.1,19394.281379418,64,100.76086,95.79879,65.57001,25.124683
CZE,2012,29258.9,10.509286,10421.61,4.22071,1.0,19842.0680912546,64,99.36768,96.79181,65.67117,27.832432
CZE,2013,30828.53,10.510719,10307.66,4.04676,0.9,20841.7471910034,64,98.74181,103.99895,65.08577,29.195036
CZE,2014,32504.22,10.524783,10490.26,3.96523,0.8,21889.7964426235,64,98.66823,104.69722,65.6241,29.88735
CZE,2015,33909.31,10.542942,10960.24,5.75182,0.8,22313.3932226,64,99.51668,105.0893,64.48163,31.010311
CZE,2016,36101.29,10.565284,10193.64,5.55373,0.7,23663.6652875739,64,100.20888,104.63481,63.74813,32.564495
CZE,2017,38842.9,10.589526,11440.47,3.80616,0.7,25424.300200146,64,100.67099,103.49158,64.07869,33.821026
DEU,2013,44993.67,80.645605,16950.21,4.93539,1.3,34223.5237813673,461,100.83825,100.81089,61.38684,29.995255
DEU,2014,47011.28,80.982495,17145.03,4.92102,1.3,35129.6869781155,461,100.53864,99.71072,65.50391,28.422802
DEU,2015,47609.56,81.686608,17062.67,4.85515,1.3,35492.3964342778,461,101.66745,98.82264,67.74687,29.588667
DEU,2016,50579.48,82.348669,17800.29,4.83923,1.3,37893.9618546332,461,102.67756,98.812,69.58059,30.527618
DEU,2017,53071.48,82.657,18381.67,4.87183,1.3,39272.160169021,461,104.02236,98.40928,70.24665,31.308737
DNK,2008,41283.0,5.489022,17815.58,7.47605,2.1,24628.5000223929,81,99.61479,117.84123,75.68209,36.165295
