Country,GDP per Capita,Population (Million),Average Spending on Higher Education (USD/student),Government Expenditure On Education (%),Government Spending Teritary (% Gov Spending),Household Income per Capita,Number of Universities,Primary Enrollment rate (% gross),Secondary Enrollment rate (% gross),Tertiary Enrollment rate (% gross),Population with Tertiary Education (%)
HUN,19443.315599999998,10.04536624,9990.8696,4.779211666666666,0.9318181818181818,17391.201723521663,69.0,100.1215232,98.05624959999999,49.8030116,23.17042839130435
IRL,45284.46120000001,4.266332960000001,14336.634666666667,4.583620833333334,1.1272727272727272,26374.186062359877,71.0,101.2768044,114.65624041666665,59.4755548,44.73578038095237
ITA,32675.2896,58.61467579999999,10196.657333333333,4.28354375,0.7636363636363638,28435.79745661013,289.0,101.959712,98.38619239999998,58.817724,18.51399530869565
JPN,33420.4124,127.20163127999996,18495.698181818178,3.372497259090909,0.5842105263157893,28465.064949684278,992.0,98.64014916666667,100.97210818181817,57.431546000000004,54.53410830434783
KOR,27764.7016,48.75808088000001,10849.88,3.7641178,0.58,21884.328006369444,401.0,100.73288840000001,97.514302,87.5155024,53.8252655
LTU,18793.743200000004,3.2188181999999994,8321.292153846152,4.8698630434782615,1.12,20019.852500870933,40.0,101.90949319999999,102.40769720000004,66.377502,47.620530125
LUX,79076.9572,0.49474747999999996,49792.06833333333,3.910407453846154,0.3,42461.38614170711,5.0,99.20076458333334,97.64212749999997,13.40313888888889,44.792909249999994
LVA,16648.1776,2.18545588,7517.5961428571445,5.238532608695652,0.9142857142857144,16411.382842698884,55.0,100.36523240000002,100.75060079999999,66.1002888,28.438211250000005
MEX,14250.252,109.18116064,7603.6051333333335,4.6161472727272725,0.8849999999999998,14813.395581426292,1139.0,108.50296839999999,83.99183920000002,26.634521600000003,18.800983173913043
NLD,41083.138,16.407266760000002,18034.415333333327,5.070155833333334,1.4833333333333334,32217.015806537027,129.0,106.8394147826087,121.52258173913046,62.00654636363635,38.19857722727273
NOR,50156.653999999995,4.79080388,19981.56357142857,7.1974148000000016,2.022727272727273,34858.1793625051,47.0,99.09410439999999,114.68432439999998,73.31888000000001,45.391695562500004
NZL,29218.5784,4.2344479999999995,14044.741142857145,6.310439565217391,1.6125,25102.016694485694,53.0,99.76141240000001,116.32824080000002,90.35248866666666,42.77129033333333
PRT,24422.961199999998,10.385090640000001,9939.640866666665,5.036202434782608,0.9315789473684211,22615.828991169186,109.0,114.76743208333333,108.39222458333332,57.29510041666666,23.380691391304346
SVK,20375.6768,5.40372162,9232.927666666666,4.016789583333334,0.8454545454545457,18846.763165570137,36.0,100.19134480000001,90.33662480000001,41.18307240000001,21.59815691304348
SVN,25659.878399999998,2.02524316,11306.660399999999,5.319599500000001,1.1555555555555554,22283.510969404124,55.0,100.2712316,102.5121024,70.4825784,32.56613268421052
SWE,38554.147600000004,9.30084984,21844.524666666668,6.928840833333333,1.8363636363636358,30557.8124770851,46.0,109.0803688,128.1123884,67.68986439999998,40.36078737500001
TUR,16460.6272,70.65258065999998,10527.502777777778,3.407875973684211,0.8500000000000001,17003.46103243638,209.0,101.73579826086956,88.28708434782608,56.12326,17.408835754166663
USA,45706.80960000001,300.00849872,27522.032666666666,5.666753459999999,1.3599999999999999,45193.2452861671,3180.0,101.57366833333332,97.24605166666667,83.54633833333332,41.39802927999999
